Year,Status,Award,Media,Media2,Name,Url
2001,finalist,"Service Journalism, Affiliated","New Tools, The Wall Street Journal",,Online Investing &#8212; New Times,http://public.wsj.com/ona/online/online2001.htm
2001,finalist,"Service Journalism, Affiliated",HeraldNet,,Waterfront Renaissance,http://waterfront.heraldnet.com/
2001,finalist,"Service Journalism, Affiliated",San Francisco Chronicle,,California&#8217;s Energy Crisis,http://www.sfgate.com/energy/
2001,winner,"Service Journalism, Independent",Theme Park Insider,,Accident Watch,http://www.themeparkinsider.com/accidents/
2001,finalist,"Service Journalism, Independent",Gotham Gazette,,Searchlight 2001,http://gothamgazette.com/searchlight2001
2001,finalist,"Service Journalism, Independent",CNET,,Fired!,http://news.cnet.com/news/0-1007-201-3314599-0.html?tag=arcv
2001,finalist,"Service Journalism, Independent",ParentCenter,,Parenting,http://www.parentcenter.com/parenting/
2001,finalist,"Service Journalism, Independent",TaxPlanet.com,,Guide to Tax Relief Act of 2001,http://www.taxplanet.com/prez/prez.html
2002,winner,"Breaking News, Affiliated",CNN,,Sept. 11 coverage,http://www.cnn.com/SPECIALS/2001/trade.center/day.section.html
2002,finalist,"Breaking News, Affiliated",ABC News,,Sept. 11 coverage,http://abcnews.go.com/sections/us/dailynews/WTC_subindex_sept11.html
2002,finalist,"Breaking News, Affiliated",Globe and Mail,,Canadian Federal Budget,http://www.globeandmail.com/series/budget2001/
2002,finalist,"Breaking News, Affiliated",New York Times,,Sept. 11 coverage,http://www.nytimes.com/indexes/2001/09/11/index.html
2002,finalist,"Breaking News, Affiliated",TurnTo10.com,,Operation Plunder Dome,http://www.turnto10.com/plunderdome
2002,winner,"Breaking News, Independent",CNET,,Trouble @ Home,http://news.com.com/2009-1033-276513.html
2002,finalist,"Breaking News, Independent",Rockland Village Soup,,The Sinking of Starbound,http://rockland.villagesoup.com/Government/Story.cfm?StoryID=12390
2002,finalist,"Breaking News, Independent",Benicia News,,Scarpaci Slaying,http://www.benicianews.com/articles/index.cfm?artOID=12979&amp;webpage=0
2002,finalist,"Breaking News, Independent",HealthScoutNews,,Sept. 11 Coverage &#8212; Health and Safety,http://www.healthscoutnews.com/view.cfm?id=501561
2002,finalist,"Breaking News, Independent",The Street,,9/11 Coverage,http://www.thestreet.com/tsc/packages/911.html
